key,message,comment,context
"Customer deliveries",顧客搬送,,
"Customer deliveries details",顧客搬送詳細,,
"Customer information",顧客情報,,
"Customer reference",お客様のリファレンス,,
"Customer specific note",お客様固有のメモ,,
Customers,お客さま,,
"Customize BOM",部品表をカスタマイズする,,
Dashboard,ダッシュボード,,
"Data file",データファイル,,
Date,日付,,
Dates,日付,,
Day,日,,
Deallocate,割り当て解除,,
"Deallocate all",すべての割り当てを解除,,
"Define as template",テンプレートとして定義,,
Delivered,配信済み,,
"Delivered quantity",納品数量,,
Delivery,配送,,
"Delivery address",配送先住所,,
"Delivery conditions",配送条件,,
Description,説明,,
"Desired delivery date",希望納期,,
"Details Lines",詳細行,,
Discount,割引,,
"Discount type",割引タイプ,,
"Discount amount",割引額,,
"Discount rate",割引率,,
"Display customer code on printing",印刷時にカスタマコードを表示する,,
"Display delivery condition on printing",印刷時に配信条件を表示する,,
"Display estimated delivery dates on printing",印刷時に配信予定日を表示する,,
"Display product code on printing",印刷時に製品コードを表示する,,
"Display product picture on printing",印刷時に製品の画像を表示する,,
"Display sale order line number",受注明細No.の表示,,
"Display saleman on printing",印刷時に販売員を表示する,,
"Display tax detail on printing",印刷時に税金の詳細を表示する,,
"Displayed Product name",表示される製品名,,
Draft,ドラフト,,
"Draft quotation",見積書,,
Durations,期間,,
"Edit order",順序の編集,,
"Enable business configurator",ビジネスConfiguratorの有効化,,
"Enable customer catalog management",顧客カタログ管理の実現,,
"Enable product description copy",製品説明のコピーを有効にする,,
"End date",終了日,,
"End of current contract period",当契約期間末,,
"End of validity",有効期限,,
"Estimated shipping date",発送予定日,,
"Excel Export",ExcelExport,,
Export,Export,,
"Fill project",プロジェクトを塗りつぶす,,
Finalize,ファイナライズ,,
"Finalized quotation",最終相場,,
"Financial terms",財務条件,,
Formula,数式,,
"Freeze fields",フィールドを固定する,,
"From Date",日付:自,,
"Full name",フルネーム,,
Generate,生成,,
"Generate Product",プロダクトを生成,,
"Generate Project/Business",プロジェクト/ビジネスの生成,,
"Generate advance payment invoice",前払金請求書の生成,,
"Generate configurator",Configuratorを生成,,
"Generate customer deliveries",顧客搬送の生成,,
"Generate invoice",請求書の生成,,
"Generate product",製品の生成,,
"Generate production order",製造オーダーの生成,,
"Generate purchase order",発注の生成,,
"Generate sale configurations",販売構成の生成,,
"Generate the pdf printing during sale order finalization",販売オーダーの確定中にPDF印刷を生成します,,
"Generated purchase orders",生成された発注,,
"Gross Profit",売上総利益,,
Half-yearly,半年ごと,,
"Hide Discount on prints",印刷時の割引を非表示にする,,
"Hide Unit Amounts",単位金額を表示しない,,
Historical,履歴,,
Import,Import,,
"Import Configurator Creator",Configurator作成者のImport,,
"Import Configurator Creators",Configurator作成のImport,,
"Import configurator creators",Configurator作成者のImport,,
"Import log",ログのImport,,
"In ATI",ATI内,,
Indicators,指標,,
"Industry Sector",産業部門,,
Info.,情報..,,
Information,情報,,
"Internal Note",内部メモ,,
"Internal Number",内部No.,,
"Internal note",内部メモ,,
"Invoice Lines",請求書明細,,
"Invoice an advance payment",前払いを請求する,,
"Invoice by delivery impose that all sale order lines must have service or stockable product with provision from stock",搬送別請求書では、すべての受注明細に、在庫�"Invoice by delivery impose that all sale order lines must have service or stockable pInvoiced,請求済,,
"Invoiced first date",請求済最初の日付,,
Invoicing,請求,,
"Is Active",アクティブ,,
"Is amount in % ?",金額は%ですか?,,
Label,ラベル,,
"Label to be displayed on sale orders",受注に表示されるラベル,,
"Last Year To Date",昨年から今日まで,,
"Legal note on sale order",販売指図書,,
"Main/Invoicing address",メイン/請求先住所,,
"Manage multiple sale quantity",複数の販売数量の管理,,
"Manage sale order versions",受注バージョンの管理,,
"Manage sales unit on products",製品の販売単位を管理する,,
"Manual Unblock",手動ブロック解除,,
"Manufacturing Orders",製造オーダー,,
Maps,地図,,
Margin,余白,,
"Margin (%)","マージン (%)",,
"Markup (%)","マークアップ (%)",,
Max,最大,,
"Merge into single quotation",,,
"Merge into single sale order",,,
"Merge quotations",,,
"Merge sale orders",,,
"Merge sale quotation",,,
"Meta field",メタフィールド,,
Min,最小,,
Month,月,,
Monthly,毎月,,
"My Opportunities",私の機会,,
"My Proposals",私の提案,,
"My Sales",私のセールス担当,,
"My Sales Orders",私の受注,,
"My Team Proposals",私のチーム提案,,
"My Team Sales",私のチームセールス,,
"My Templates",私のテンプレート,,
"My Today Activities",私の・トゥデイ活動,,
"My Turnover per month",私の月間売上高,,
"My templates",個人用テンプレート,,
Name,名称,,
"Name to use in scripts",スクリプトで使用する名前,,
"Nbr of Units sold (Orders) by category","カテゴリー別販売数 (オーダー数)",,
"New version",新しいバージョン,,
"Next invoiced period start date",次の請求期間開始日,,
"Next invoicing date",次回の請求日,,
"Next invoicing end period date",次の請求終了期間日,,
"Next invoicing start period date",次の請求開始期間日,,
"No Of Units",単位なし,,
"No client selected, a new one will be created from the lead, do you agree?",賛成ですか,,
"Not delivered",未配信,,
"Not invoiced",未請求,,
"Notice period in days","通知期間 (日数)",,
"Number of periods",期間数,,
OR,OR,,
"Old qty",旧数量,,
"On change",変更時,,
"Only if",次の場合のみ,,
Opportunity,オポチュニティ,,
Options,オプション,,
"Order Date",オーダー日,,
"Order Number",オーダーNo.,,
"Order being edited",編集中の順序,,
"Order bloqued message",オーダーが満杯になったメッセージ,,
"Order completed",受注完了,,
"Order confirmed",オーダー確認済み,,
"Other information",その他の情報,,
Overview,概要,,
Pack,パック,,
"Pack Management",パック管理,,
PackLine,パックライン,,
"Partially delivered",部分的に配信,,
"Partially invoiced",一部請求済,,
"Partner Type",パートナータイプ,,
"Partner price lists",パートナー価格リスト,,
"Periodicity type",周期性タイプ,,
"Please enter at least one detail line.",少なくとも1つの詳細行を入力してください,,
"Please fill printing settings on sale order %s.",特売オーダー%sの印刷設定を入力してください,,
"Please select a customer",顧客を選択してください,,
"Please select a customer to be able to convert opportunity into quotation.",商談を見積に変換できる顧客を選択してください,,
"Please select the sale order(s) to print.",印刷する受注を選択してください,,
Price,価格,,
"Price List",価格表,,
"Price list",価格表,,
"Price lists",価格表,,
Print,印刷,,
"Print proforma invoice",見積送り状を印刷する,,
"Print subtotal / line",小計/行を印刷する,,
"Print subtotal per line",行ごとに小計を印刷する,,
Printing,印刷,,
"Printing config per Sale Order",受注ごとの構成の印刷,,
"Printing settings",印刷設定,,
Product,商品,,
"Product Accounting Family",製品会計ファミリ,,
"Product Accounting Family Sales Turnover this year vs last year",製品会計ファミリの今年の売上高対昨年の売上高,,
"Product Category",製品カテゴリ,,
"Product Name",製品名,,
"Product code on catalog",カタログの製品コード,,
"Product creator",プロダクト作成者,,
"Product generated",生成された製品,,
"Product meta field",製品メタフィールド,,
"Product name on catalog",カタログの製品名,,
"Product sale turnover (Excl. Tax) last 12 month",,,
"Product sale turnover (Excl. Tax) per month",,,
Production,制作,,
"Production note",製造ノート,,
"Production process",製造工程,,
"Products & services",製品とサービス,,
Project/Task,プロジェクト/タスク,,
Prospects,見込み客,,
Prototype,プロトタイプ,,
Qty,数量,,
Quarterly,四半期ごと,,
Quotation,見積,,
"Quotation lines",見積明細,,
"Quotation/sale order created",デバイス/コマンドクライアント,,
"Quotations template",見積テンプレート,,
"Quotations to merge",マージする見積,,
Quote/Order,見積り/オーダー,,
Reference,参考,,
"Reference already existing",既存の参照,,
References,参考資料,,
"Register a deposit",預金を登録する,,
"Related tasks",関連タスク,,
Reportings,レポート,,
Reports,報告,,
"Request reservation",予約のリクエスト,,
"Reservation requested",要予約,,
"Reserve all",すべて予約,,
"SO Tax line",SO税金明細,,
"SO Tax lines",SO税金明細,,
"SO line",SOライン,,
"SO lines",SO行,,
Sale,セール,,
"Sale batch",販売バッチ,,
"Sale batches",販売バッチ,,
"Sale blocking",販売ブロック,,
"Sale config",販売構成,,
"Sale config (${ name })","販売時の構成 (${name})",,
"Sale configuration",販売構成,,
"Sale configurations",販売構成,,
"Sale order",販売オーダー,,
"Sale order line field",販売オーダライン欄,,
"Sale order lines",受注明細の販売,,
"Sale order quotation",売買オーダー価格,,
"Sale orders",販売オーダー,,
"Sale orders ATI/WT",受注ATI/WT,,
"Sale orders to merge",合併受注,,
"Sale quotation",売買相場,,
"Sale quotations",売買相場,,
"Sale quotations/orders",見積/受注,,
SaleOrder.afterDiscount,値引き後に,,
SaleOrder.bank,銀行,,
SaleOrder.base,ベース,,
SaleOrder.cheque,小切手,,
SaleOrder.customer,顧客,,
SaleOrder.customerCode,顧客コード,,
SaleOrder.customerRef,顧客参照.,,
SaleOrder.date,日付,,
SaleOrder.deliveryAddress,配送先住所,,
SaleOrder.deliveryCondition,配送条件,,
SaleOrder.deliveryDate,発送予定日,,
SaleOrder.description,表示する説明,,
SaleOrder.discountAmount,割引,,
SaleOrder.duration,有効期間,,
SaleOrder.estimatedDeliveryDate,発送予定日,,
SaleOrder.invoicingAddrs,請求先住所,,
SaleOrder.isIspmRequired,"ISPM 15標準が必要",,
SaleOrder.no,次数No.,,
SaleOrder.note,注,,
SaleOrder.order,オーダー確認,,
SaleOrder.others,その他の証券,,
SaleOrder.paymentCondition,支払条件,,
SaleOrder.paymentMode,支払モード,,
SaleOrder.periodicity,周期性,,
SaleOrder.priceExclTax,金額W.T,,
SaleOrder.priceInclTax,金額A.T.I,,
SaleOrder.productCode,参考,,
SaleOrder.productDescription,説明,,
SaleOrder.productName,表示される製品名,,
SaleOrder.productSequence,シーケンス,,
SaleOrder.proforma,見積送り状,,
SaleOrder.qtyUnit,数量/単位,,
SaleOrder.quote,見積もり,,
SaleOrder.salemanEmail,Eメール,,
SaleOrder.salemanName,営業担当者,,
SaleOrder.salemanPhone,電話No.,,
SaleOrder.subscriptionContract,募集契約,,
SaleOrder.supplier,仕入先,,
SaleOrder.supplyRef,仕入先参照.,,
SaleOrder.tax,税金,,
SaleOrder.taxAmount,税額,,
SaleOrder.totalDiscount,割引,,
SaleOrder.totalExclTax,合計除外。税金,,
SaleOrder.totalExclTaxWithoutDiscount,総合計。税金,,
SaleOrder.totalInclTax,合計。税金,,
SaleOrder.totalTax,税金合計,,
SaleOrder.unitPrice,単価,,
SaleOrder.validityDate,有効期限,,
Sales,売上高,,
"Sales Details",販売詳細,,
"Sales Manager",営業部長,,
"Sales Manager Details",セールス・マネージャの詳細,,
"Sales Order filters",受注フィルタ,,
"Sales Orders per salesman",セールスマン1人当たりの受注,,
"Sales TurnOver by Product this year vs last year",製品別売上高前年比,,
"Sales Turnover (Orders) by month by category","カテゴリ別の月別売上高 (受注)",,
"Sales Turnover This year vs Last year",今年の売上高と昨年の売上高,,
"Sales Turnover YTD vs Last year by Product Accounting Family",製品会計ファミリ別売上回転率YTD対前年度,,
"Sales distribution per product accounting family",製品別売上高構成比,,
"Sales distribution per product category",製品カテゴリー別売上高,,
"Sales follow-up",販売フォローアップ,,
"Sales order",受注,,
"Sales per country",国別売上高,,
"Sales turnover comparison per month this year vs past years",今年と過去の月ごとの売上高の比較,,
"Sales turnover comparison per month this year vs past years by accounting family",会計部門別売上高の前年比,,
"Sales turnover this year vs last year",今年の売上高と昨年の売上高,,
"Sales turnover this year vs past years",今年の売上高と過去数年間の売上高,,
"Sales unit",売上高,,
Salesperson,営業担当者,,
"Salesperson Details",営業担当詳細,,
"Schedule Event",スケジュールイベント,,
"See quotation lines","「見積明細」 を参照",,
"See sale orders lines","「受注明細」 を参照",,
"See stock details","「在庫詳細」 を参照",,
"Send email",電子メールの送信,,
Seq.,シーケンス,,
Settings,設定,,
"Shipping costs",送料,,
"Short legal note to be displayed on sales order",受注に表示される短い法的注意事項,,
"Show Total",合計を表示,,
"Show on configurator",Configuratorで表示,,
"So line creator",ラインクリエーターは,,
"Specific notes",特記事項,,
"Specific package",特定のパッケージ,,
"Specific tax note",特定納税ノート,,
Standard,標準,,
"Start date",開始日,,
Status,ステータス,,
"Stock Moves",在庫移動,,
"Stock location",在庫場所,,
"Stock moves",在庫移動,,
"Sub Total gross profit",小計総利益,,
"Sub Total markup",サブ合計マークアップ,,
"Sub margin rate",サブマージンレート,,
"SubTotal cost price",小計原価価格,,
Subscription,購読,,
"Subscription text to display",表示するサブスクリプションテキスト,,
Supplier,仕入先,,
"Tacit agreement",タシット協定,,
"Target custom model",ターゲットカスタムモデル,,
Tax,税金,,
"Tax Equiv",税均等,,
"Tax Lines",税金明細,,
Taxes,税金,,
Team,チーム,,
Template,テンプレート,,
"Template created by",作成したテンプレート,,
Templates,テンプレート,,
"Test this creator",この作成者をテスト,,
"The client Partner is required and must be the same for all sale orders",クライアントパートナーは必須であり、すべての販売オーダーで同じである必要があります,,
"The company %s doesn't have any configured sequence for sale orders",会社%sには販売オーダーの構成済みシーケンスがありません,,
"The company is required and must be the same for all sale orders",会社は必須であり、すべての販売オーダーで同じである必要があります,,
"The currency is required and must be the same for all sale orders",通貨は必須であり、すべての受注で同じである必要があります,,
"The field %s is of type %s, but the configured script returned value is of type %s.",構成されたスクリプトの戻り値のタイプは%sです,,
"The sale order was canceled",販売オーダーはキャンセルされました,,
"The syntax of the script is correct.",スクリプトの構文は正しい,,
"The total amount of quotation is zero. Do you want to proceed ?",見積もりの合計金額は0です。続行しますか?,,
"This Year To Date",今年の初めから今日まで,,
"This sale order is completed.",この販売オーダーは完了しました,,
"This script has errors, please see server logs for more details.",詳細については、サーバログを参照してください,,
"This script returned value is of type %s, it should return a value of type %s instead.",代わりにタイプ%sの値を返す必要があります,,
Timetable,時刻表,,
Title,タイトル,,
"To Date",日付:至,,
Tools,ツール,,
"Total A.T.I.",合計A.T.I,,
"Total A.T.I. in company currency",社内通貨建て総勘定,,
"Total V.A.T.",合計付加価値税,,
"Total W.T.",合計W.T,,
"Total W.T. in company currency",企業通貨の総WT,,
"Total cost in company currency",会社通貨での総コスト,,
"Total cost price",原価総額,,
"Total stock",株式総数,,
"Total tax",税金合計,,
"Trading name",商号,,
TurnOver,ターンオーバー,,
Turnover,離職,,
"Turnover (excl. Tax) per team",,,
"Turnover Study",離職調査,,
"Turnover per customer category",顧客カテゴリー別売上高,,
"Turnover per customer sector",業種別売上高,,
"Turnover per customer type",顧客タイプ別回転率,,
"Turnover per month per saleman (4 month)","販売員一人当たりの月間売上高 (4か月)",,
"Turnover per month per saleman (6 month)","販売員一人当たりの月間売上高 (6か月)",,
Type,種類,,
"Type of project's elements generated",生成されるプロジェクトの要素のタイプ,,
Unit,単位,,
"Unit cost price in company currency",企業通貨単位の原価価格,,
"Unit price A.T.I.",単価A.T.I,,
"Unit price W.T.",単価W.T,,
"Unit price discounted",割引単価,,
Unrenewed,未更新,,
"Update customer's accepted credit",顧客承認済クレジットの更新,,
"Update from",更新元,,
"Update from configurator",Configuratorからの更新,,
"Update from product",製品からの更新,,
"Update lines with selected project",選択したプロジェクトでラインを更新,,
"User assigned to customer",顧客に割り当てられたユーザー,,
"User to fill saleman",販売員を補充するユーザー,,
"Validate and generate the line",明細の検証および生成,,
"Validate changes",変更の検証,,
Validated,検証済み,,
"Validity duration",有効期間,,
"Validity duration per default",デフォルトごとの有効期間,,
Value,値,,
"Version Number",バージョンNo.,,
WT,WT,,
"Warning, a completed order can't be changed anymore, do you want to continue?",続行しますか?,,
"Widget Attributes",ウィジェット属性,,
"Word Export",WordExport,,
Year,年,,
"Year 1 To Date",年1累計,,
"Year 2 To Date",年2累計,,
Yearly,年,,
"You have to choose at least one sale order",少なくとも1つの販売オーダーを選択する必要があります,,
"You have to choose at least one sale quotation",最低1つの販売見積もりを選択する必要があります,,
"You must configure a script to fill the created product code.",作成した製品コードを入力するスクリプトを設定する必要があります,,
"You must configure a script to fill the created product name.",作成した製品名を入力するスクリプトを設定する必要があります,,
"You must configure a script to fill the product name in the created sale order line.",作成した受注明細に製品名を入力するスクリプトを構成する必要があります,,
important,重要な,,
info,情報,,
success,成功,,
value:Sale,値:販売,,
warning,警告,,
"{{ company.name }}",{{会社名}。名前}},,
"{{ stockLocation.name }}",{{stockLocation.name}},,
"{{ tradingName.name }}","{{tradingName] をクリックします。名前}}",,
��コードを入力するスクリプトを設定する必要があります,,
"You must configure a script to fill the created product name.",作成した製品名を入力するスクリプトを設定する必要があります,,
"You must configure a script to fill the product name in the created sale order line.",作成した受注明細に製品名を入力するスクリプトを構成する必要があります,,
important,重要な,,
info,情報,,
success,成功,,
value:Sale,値:販売,,
warning,警告,,
"{{ company.name }}",{{会社名}。名前}},,
"{{ stockLocation.name }}",{{stockLocation.name}},,
"{{ tradingName.name }}","{{tradingName] をクリックします。名前}}",,
